time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-22T08:26:56.300Z,19.7852,-155.7853,14.6,2.9,Ml,,154.8,0.10779783,0.12,hv,hv60755151,2014-08-22T22:33:28.728Z,"16km SSE of Waikoloa Village, Hawaii",earthquake
2014-08-22T07:35:22.580Z,34.6409,70.8207,37.72,4.4,mb,,99,1.469,1.43,us,usb000s592,2014-08-22T15:38:41.551Z,"39km SW of Asadabad, Afghanistan",earthquake
2014-08-22T07:11:56.300Z,19.0188,-66.844,9,2.8,Md,7,288,0.60276956,0.46,pr,pr14234003,2014-08-22T15:14:49.299Z,"58km N of Hatillo, Puerto Rico",earthquake
2014-08-22T05:39:21.000Z,53.2087,-166.0744,32.3,3.4,ml,,,,0.4,ak,ak11363788,2014-08-22T23:47:57.391Z,"80km SSE of Unalaska, Alaska",earthquake
2014-08-22T05:20:07.720Z,21.258,121.2289,16.27,4.3,mb,,108,1.558,0.6,us,usb000s58j,2014-08-22T13:23:11.533Z,"82km NW of Itbayat, Philippines",earthquake
2014-08-22T05:13:42.000Z,67.3003,-161.4311,10.7,3.3,ml,,,,1.17,ak,ak11363766,2014-08-22T13:16:26.411Z,"67km NE of Kotzebue, Alaska",earthquake
2014-08-22T04:27:54.780Z,39.9151,23.4427,10,5.1,mb,,27,0.755,0.95,us,usb000s57w,2014-08-22T16:12:45.000Z,"13km SSW of Polikhronon, Greece",earthquake
2014-08-22T04:22:30.900Z,39.939,23.444,17.4,4.2,mb,,,,1.08,us,usb000s57u,2014-08-23T00:03:13.356Z,"11km SW of Polikhronon, Greece",earthquake
2014-08-22T03:00:04.590Z,27.9468,128.2385,46.41,4.1,mb,,75,5.64,1.25,us,usb000s57n,2014-08-22T11:02:58.811Z,"130km WSW of Naze, Japan",earthquake
2014-08-22T02:09:10.600Z,36.7788,-121.3908,3.5,2.8,Ml,73,21.6,0.03593261,0.1,nc,nc72281511,2014-08-23T08:48:05.410Z,"4km SSW of Ridgemark, California",earthquake
2014-08-22T02:07:07.990Z,12.639,-88.2194,70.89,4.9,mb,,128,1.16,1.44,us,usb000s57a,2014-08-22T20:30:56.805Z,"64km S of Chirilagua, El Salvador",earthquake
2014-08-22T02:03:11.400Z,19.059,-64.6597,30,2.9,Md,5,298.8,0.6404988,0.25,pr,pr14234001,2014-08-22T10:06:18.327Z,"71km N of Road Town, British Virgin Islands",earthquake
2014-08-22T01:47:06.810Z,-5.8281,151.3298,51.92,4.4,mb,,195,1.826,0.7,us,usb000s576,2014-08-22T09:49:49.847Z,"135km ESE of Kimbe, Papua New Guinea",earthquake
2014-08-22T00:29:02.230Z,-6.1673,129.625,102.26,4.1,mb,,82,2.451,1.18,us,usb000s56i,2014-08-22T08:31:58.350Z,"271km NW of Saumlaki, Indonesia",earthquake
2014-08-22T00:22:46.470Z,35.678,0.1576,16.24,4.2,mb,,175,0.533,0.85,us,usb000s56s,2014-08-22T08:25:23.128Z,"28km SSE of Mostaganem, Algeria",earthquake
2014-08-22T00:15:40.000Z,53.2712,-166.7725,35.3,3.7,ml,,,,0.4,ak,ak11363463,2014-08-22T08:18:33.306Z,"68km SSW of Unalaska, Alaska",earthquake
2014-08-22T00:11:31.000Z,51.1543,179.3222,34.5,3.7,ml,,,,0.69,ak,ak11363458,2014-08-22T08:14:11.796Z,"90km SSW of Semisopochnoi Island, Alaska",earthquake
2014-08-21T23:50:22.460Z,64.5751,-17.4639,5,4.8,mb,,46,1.671,0.87,us,usb000s569,2014-08-22T17:09:37.967Z,"114km WNW of Hofn, Iceland",earthquake
